"","Family","species","valid_Apr2016","Phylogeny","other.phylogeny","Realm","time","element","activity.Season.Length","breeding.age..female..months.","field.body.temperature","preferred.body.temperature","Latitude_centroid","Longitude_centroid","npp","mean.annual.temperature","annual.precipitation","biome","insular.endemic","foraging","sub.order","infraorder","log_mass"
"578","Lacertidae","Iberolacerta_aurelioi","yes","Pyron and Burbrink 2014","no","Palearctic","Diurnal","air",4.75,38.5,28.13,"#DIV/0!",42.62918447,1.397388174,11.52,4.8,1218.33,"Temperate Broadleaf & Mixed Forests","no",NA,"Sauria","Lacertoidea",0.811827103
"579","Anguidae","Anguis_fragilis","yes","Pyron and Burbrink 2014","Gvozdik et al. 2010","Palearctic","Diurnal","earth",6,42,24.25,"26.3",50.10632658,8.106975413,11.36,8.51,814.64,"Temperate Broadleaf & Mixed Forests","no","Active","Sauria","Diploglossa",1.901578524
"580","Lacertidae","Lacerta_agilis","yes","Pyron and Burbrink 2014","Arnold et al. 2007, Godhino et al. 2005, Mendes et al. 2016","Palearctic","Diurnal","air",7,22.5,32.2,"34.25",52.14973164,53.5324928,11.15,3.66,520.31,"Temperate Broadleaf & Mixed Forests","no","Active","Sauria","Lacertoidea",1.526926216
"581","Scincidae","Scincella_lateralis","yes","Pyron and Burbrink 2014","Reeder 2003, Grismer et al. 2011","Nearctic","Diurnal","air",12,10.5,28.85,"29.4",33.93853525,-89.10864984,11.6,16.22,1173.64,"Temperate Broadleaf & Mixed Forests","no","Active","Sauria","Scincoidea",0.593081146
"582","Dactyloidae","Anolis_carolinensis","yes","Pyron and Burbrink 2014","Nicholson et al. 2005","Nearctic","Diurnal","air",12,8,28.2,"32.4",32.0747139,-88.33136213,11.64,17.88,1268.84,"Temperate Broadleaf & Mixed Forests","no","Sit&wait","Sauria","Pleurodonta",0.942430237
"583","Anguidae","Ophisaurus_attenuatus","yes","Pyron and Burbrink 2014","Macey et al. 1999","Nearctic","Diurnal","air",6,20,31.3,"31.2",34.38252396,-89.78031288,11.62,15.92,1160.87,"Temperate Broadleaf & Mixed Forests","no",NA,"Sauria","Diploglossa",2.165333145
"584","Phrynosomatidae","Sceloporus_undulatus","yes","Pyron and Burbrink 2014","Wiens et al. 2010","Nearctic","Diurnal","air",9,16.75,32.45,"33.55",34.65198591,-95.82962664,11.38,13.92,807.67,"Temperate Broadleaf & Mixed Forests","no","Sit&wait","Sauria","Pleurodonta",1.389353807
"585","Scincidae","Plestiodon_laticeps","yes","Pyron and Burbrink 2014","Richmond 2006","Nearctic","Diurnal","air",NA,16.5,31.5,"33.15",34.72077146,-87.32880581,11.65,15.4,1239.17,"Temperate Broadleaf & Mixed Forests","no","Active","Sauria","Scincoidea",1.834580065
"586","Scincidae","Plestiodon_fasciatus","yes","Pyron and Burbrink 2014","Brandley et al. 2012","Nearctic","Diurnal","air",6.5,18,33.25,"33.8",36.62321903,-86.68924435,11.59,13.22,1142.34,"Temperate Broadleaf & Mixed Forests","no","Active","Sauria","Scincoidea",1.121495499
"587","Scincidae","Plestiodon_anthracinus","yes","Pyron and Burbrink 2014","Brandley et al. 2012, Siler et al. 2011 for placement of the genus with Eumeces as sister to Brachymeles","Nearctic","Diurnal","air",10.25,18,30,"#DIV/0!",35.36262181,-89.67193471,11.67,14.26,1235.63,"Temperate Broadleaf & Mixed Forests","no",NA,"Sauria","Scincoidea",0.832821571
"588","Scincidae","Plestiodon_inexpectatus","yes","Pyron and Burbrink 2014","Brandley et al. 2011","Nearctic","Diurnal","air",12,21,33.2,"#DIV/0!",33.05757849,-83.51378823,11.65,16.86,1323.92,"Temperate Broadleaf & Mixed Forests","no",NA,"Sauria","Scincoidea",1.169580331
"589","Dactyloidae","Anolis_sagrei","yes","Pyron and Burbrink 2014","Nicholson et al. 2005","Neotropic","Diurnal","air",12,12,30.7,"34.05",23.57827942,-85.76569437,11.54,24.14,1325.48,"Temperate Conifer Forests","no","Sit&wait","Sauria","Pleurodonta",0.942430237
"590","Anguidae","Elgaria_multicarinata","yes","Pyron and Burbrink 2014","Conroy et al. 2005","Nearctic","Cathemeral","air",NA,18,24.5,"28.45",38.95870876,-120.7266678,11.44,12.45,763.85,"Temperate Conifer Forests","no","mixed","Sauria","Diploglossa",2.066461608
"593","Scincidae","Plestiodon_egregius","yes","Pyron and Burbrink 2014","Brandley et al. 2012","Nearctic","Diurnal","earth",NA,8,30.35,"#DIV/0!",30.4421277,-83.30567991,11.63,19.84,1320.43,"Temperate Conifer Forests","no","Active","Sauria","Scincoidea",0.256070716
"594","Phrynosomatidae","Sceloporus_woodi","yes","Pyron and Burbrink 2014","Wiens et al. 2010","Nearctic","Diurnal","air",NA,10.5,36.2,"#DIV/0!",27.82580525,-81.1825823,11.57,22.31,1316.55,"Temperate Conifer Forests","no",NA,"Sauria","Pleurodonta",0.998169056
"595","Phrynosomatidae","Sceloporus_tristichus","yes","Leache and Reeder 2002","Leache and Reeder 2002","Nearctic","Diurnal","air",7.5,17,33,"#DIV/0!",34.96057444,-109.2332964,11.08,10.93,392.78,"Temperate Conifer Forests","no","Sit&wait","Sauria","Pleurodonta",1.441688982
"596","Anguidae","Elgaria_coerulea","yes","Pyron and Burbrink 2014","Conroy et al. 2005","Nearctic","Diurnal","air",NA,38,21.15,"#DIV/0!",46.40291096,-120.5057164,11.48,6.64,1092.9,"Temperate Conifer Forests","no","Sit&wait","Sauria","Diploglossa",1.659715401
"597","Liolaemidae","Liolaemus_elongatus","yes","Pyron and Burbrink 2014","Moreno Azocar et al. 2013, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,32.4,"32.95",-39.55126793,-69.72359508,10.93,9.56,304.23,"Temperate Grasslands, Savannas & Shrublands","no","Sit&wait","Sauria","Pleurodonta",1.442755885
"598","Liolaemidae","Phymaturus_tenebrosus","yes","Morando et al. 2013","Morando et al. 2013","Neotropic","Diurnal","air",10,84,32,"33.565",-41.06390596,-70.7588768,11,7.54,521.81,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.747740083
"599","Liolaemidae","Phymaturus_patagonicus","yes","Pyron and Burbrink 2014","Lobo et al. 2012, Morando et al. 2013","Neotropic","Diurnal","air",NA,NA,30.7,"31.1",-43.60673891,-67.64278952,10.63,11.15,176.47,"Temperate Grasslands, Savannas & Shrublands","no","Sit&wait","Sauria","Pleurodonta",1.730368253
"600","Liolaemidae","Liolaemus_kolengh","yes","Pyron and Burbrink 2014","Breitman et al. 2011, Olave et al. 2014","Neotropic","Diurnal","air",NA,NA,26.8,"31.8",-46.92349158,-71.80139068,10.98,2.84,388,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",0.882548584
"601","Liolaemidae","Liolaemus_hatcheri","yes","Pyron and Burbrink 2014","Pincheira-Donoso et al. 2009, Olave et al. 2014","Neotropic","Diurnal","air",NA,NA,27.2,"32.1",-48.55437825,-71.84469913,10.91,5.01,318.56,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.092710898
"603","Liolaemidae","Liolaemus_martorii","yes","Olave et al. 2014","Moreno Azocar et al. 2013","Neotropic","Diurnal",NA,NA,NA,36.1,"32.4",-40.84381233,-64.74436172,10.61,14.77,249.16,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.155699465
"604","Liolaemidae","Liolaemus_goetschi","yes","Moreno Azocar et al. 2013","Moreno Azocar et al. 2013, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,34,"32.5",-41.1236476,-65.38133542,10.66,13.89,234.88,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.11554693
"605","Liolaemidae","Phymaturus_somuncurensis","yes","Pyron and Burbrink 2014","Morando et al. 2013","Neotropic","Diurnal","air",NA,NA,32.8,"32.8",-42.01984385,-66.86015091,10.68,10.52,188.33,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.606
"607","Liolaemidae","Liolaemus_boulengeri","yes","Pyron and Burbrink 2014","Olave et al. 2014 ","Neotropic","Diurnal","air",NA,NA,31.75,"33.35",-42.81110493,-68.34996506,10.74,10.71,214.84,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.181816985
"608","Liolaemidae","Phymaturus_zapalensis","yes","Morando et al. 2013","Morando et al. 2013","Neotropic","Diurnal","air",NA,NA,29.7,"33.1",-38.93460043,-69.91621897,10.93,10.72,257.28,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.69009139
"609","Liolaemidae","Liolaemus_rothi","yes","Pyron and Burbrink 2014","Moreno Azocar et al. 2013, Avila et al. 2013, 2 mt genes (Moreno Azocar), Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,36.3,"33.3",-41.44149706,-68.61139539,10.84,9.48,272.79,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.57159446
"610","Liolaemidae","Liolaemus_canqueli","yes","Pyron and Burbrink 2014","Moreno Azocar et al. 2013, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,33.45,"33.7",-44.50823647,-68.49598891,10.69,10.26,165.09,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.516
"611","Liolaemidae","Liolaemus_xanthoviridis","yes","Pyron and Burbrink 2014","Moreno Azocar et al. 2013, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,35.15,"33.7",-43.88143124,-65.72297131,10.54,12.35,180.79,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.532044047
"612","Liolaemidae","Liolaemus_bibronii","yes","Pyron and Burbrink 2014","Morando et al. 2007, Olave et al. 2011, Pincheira-Donoso et al. 2008, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,30.85,"34.3",-42.83294228,-68.82063643,10.84,9.94,336.57,"Temperate Grasslands, Savannas & Shrublands","no","Sit&wait","Sauria","Pleurodonta",1.03626863
"613","Liolaemidae","Phymaturus_indistinctus","yes","Pyron and Burbrink 2014","Lobo et al. 2012","Neotropic",NA,"air",NA,NA,32.9,"34.1",-45.56038401,-69.50548219,10.83,9.34,151.2,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.606
"614","Liolaemidae","Liolaemus_casamiquelai","yes","Olave et al. 2014","Moreno Azocar et al. 2013, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,36,"34.4",-40.95432918,-69.075585,10.76,9.54,196.86,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.596907628
"615","Liolaemidae","Phymaturus_roigorum","yes","Morando et al. 2013","Morando et al. 2013","Neotropic","Diurnal","air",NA,NA,28.17,"34.66",-36.51273441,-69.33066271,10.78,10.54,226.77,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.709027227
"616","Liolaemidae","Liolaemus_kingii","yes","Pyron and Burbrink 2014","Breitman et al. 2011, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,27.85,"35.6",-47.30220987,-69.29330633,10.69,8.66,198.73,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.516
"617","Liolaemidae","Liolaemus_darwinii","yes","Pyron and Burbrink 2014","Camargo et al. 2012, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,35.6,"34.85",-36.11776392,-66.6380278,10.99,13.64,296.63,"Temperate Grasslands, Savannas & Shrublands","no","Sit&wait","Sauria","Pleurodonta",1.016915634
"618","Liolaemidae","Liolaemus_escarchadosi","yes","Pyron and Burbrink 2014","Breitman et al. 2011, Olave et al. 2014, Breitman et al. 2015","Neotropic","Diurnal","air",NA,NA,27,"34.9",-50.37014245,-70.79187269,10.78,6.53,214.02,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.389151192
"619","Liolaemidae","Phymaturus_payuniae","yes","Morando et al. 2013","Morando et al. 2013","Neotropic","Diurnal","air",NA,NA,30.75,"34.96",-37.04112114,-69.08298973,10.76,11.97,186.1,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.453947859
"620","Liolaemidae","Liolaemus_kriegi","yes","Pyron and Burbrink 2014","Pincheira-Donoso et al. 2008, Moreno Azocar et al. 2013, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,32.3,"35.4",-40.41516482,-70.63163514,11.1,8.59,502.7,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.703981212
"621","Liolaemidae","Liolaemus_petrophilus","yes","Pyron and Burbrink 2014","Pincheira-Donoso et al. 2008, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,34.4,"35.2",-43.04044559,-68.18848433,10.73,10.01,185.62,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.524045946
"622","Liolaemidae","Liolaemus_multimaculatus","yes","Pyron and Burbrink 2014","Moreno Azocar et al. 2013, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,33.15,"35.4",-38.42839359,-59.88886464,11.4,14.32,658.59,"Temperate Grasslands, Savannas & Shrublands","no","Sit&wait","Sauria","Pleurodonta",1.079751307
"624","Liolaemidae","Liolaemus_morenoi","yes","Pyron and Burbrink 2014","Abdala 2007, Olave et al. 2014","Neotropic","Diurnal","air",NA,NA,35.6,"35.6",-39.79984143,-69.98883052,10.88,10.47,261.2,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.350162665
"625","Liolaemidae","Liolaemus_melanops","yes","Pyron and Burbrink 2014","Moreno Azocar et al. 2013, Olave et al. 2014, Sheldon et al. 2015","Neotropic","Diurnal","air",NA,NA,35.2,"36",-42.53245871,-66.36367263,10.59,12.17,194.75,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.502482198
"626","Liolaemidae","Liolaemus_gallardoi","yes","Pyron and Burbrink 2014","Pincheira-Donoso et al. 2009, Olave et al. 2014","Neotropic","Diurnal","air",NA,NA,26.8,"36.1",-47.90353686,-70.76272919,10.81,6.85,238.51,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.403850901
"627","Liolaemidae","Liolaemus_zullyae","yes","Pyron and Burbrink 2014","Breitman et al. 2011, Olave et al. 2014","Neotropic","Diurnal","air",NA,NA,27.9,"36.4",-46.87156835,-71.8013817,11,4.49,372.58,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.356234955
"628","Liolaemidae","Liolaemus_josei","yes","Olave et al. 2014","Moreno Azocar et al. 2013","Neotropic","Diurnal",NA,NA,NA,35,"36.5",-35.73757522,-68.91357795,10.9,11.46,266.13,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.094552116
"629","Liolaemidae","Liolaemus_mapuche","yes","Olave et al. 2014","Moreno Azocar et al. 2013","Neotropic","Diurnal",NA,NA,NA,33.9,"36.6",-39.00822954,-70.30990736,11.07,10.03,435.98,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.284691547
"630","Liolaemidae","Liolaemus_donosobarrosi","yes","Pyron and Burbrink 2014","Moreno Azocar et al. 2013, Olave et al. 2014","Neotropic","Diurnal",NA,NA,NA,35,"36.9",-37.21422704,-68.09619674,10.82,13.21,218.35,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",0.936592666
"631","Liolaemidae","Liolaemus_grosseorum","yes","Pyron and Burbrink 2014","Camargo et al. 2012, Olave et al. 2014","Neotropic","Diurnal","air",NA,NA,37.3,"37.35",-36.60602495,-67.909254,10.88,13.37,262.15,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",0.73613832
"632","Liolaemidae","Liolaemus_baguali","yes","Pyron and Burbrink 2014","Breitman et al. 2011, Olave et al. 2014, Breitman et al. 2015","Neotropic","Diurnal","air",NA,NA,28.2,"37.4",-49.63473263,-71.58672843,10.76,6.66,203.94,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.529383295
"633","Phyllodactylidae","Homonota_darwinii","yes","Pyron and Burbrink 2014","no","Neotropic","Nocturnal","air",5,60,25.5,"#DIV/0!",-43.75276373,-68.8159687,10.76,9.78,229.66,"Temperate Grasslands, Savannas & Shrublands","no","Sit&wait","Sauria","Gekkota",0.643368121
"634","Phyllodactylidae","Homonota_underwoodi","yes","Morando et al. 2014","Pyron and Burbrink 2014","Neotropic","Nocturnal","air",NA,NA,23.9,"#DIV/0!",-31.47960772,-67.6172369,11.03,16.04,243.82,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Gekkota",0.625335635
"635","Leiosauridae","Pristidactylus_scapulatus","yes","Pyron and Burbrink 2014","Frost et al. 2001, Morando et al. 2015","Neotropic","Diurnal","air",NA,NA,27,"#DIV/0!",-34.77760786,-68.34738046,10.99,12.76,302.11,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.62227981
"636","Liolaemidae","Liolaemus_gracilis","yes","Pyron and Burbrink 2014","Morando et al. 2007, Olave et al. 2011, Pincheira-Donoso et al. 2008","Neotropic","Diurnal","air",NA,NA,36.87,"#DIV/0!",-37.03306449,-68.02736345,10.89,13.52,246.44,"Temperate Grasslands, Savannas & Shrublands","no","Sit&wait","Sauria","Pleurodonta",0.784032011
"637","Liolaemidae","Liolaemus_austromendocinus","yes","Pyron and Burbrink 2014","Pincheira-Donoso et al. 2008","Neotropic","Diurnal","air",NA,NA,35,"#DIV/0!",-36.28307793,-69.06800429,10.94,11.51,305.39,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.568752252
"639","Teiidae","Aurivela_longicauda","yes","Koch et al. 2013","Harvey et al. 2012, Goicoechea et al. 2016","Neotropic","Diurnal","air",NA,NA,36.7,"#DIV/0!",-32.95679504,-67.31323949,11,14.61,266.56,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Lacertoidea",0.991254904
"640","Scincidae","Hemiergis_decresiensis","yes","Pyron and Burbrink 2014","Skinner et al. 2013, Rabosky et al. 2014","Australia","Diurnal","earth",NA,NA,22.55,"21.2",-33.14034026,144.999669,11.31,15.95,530.45,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Scincoidea",0.482036543
"641","Diplodactylidae","Diplodactylus_vittatus","yes","Pyron and Burbrink 2014","Oliver et al. 2009, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,NA,20.9,"22",-30.05127881,146.8753246,11.34,17.7,603.92,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Gekkota",0.620698364
"643","Scincidae","Egernia_striolata","yes","Gardner et al. 2008","Gardner et al. 2008","Australia","Diurnal","air",NA,30,31.45,"31.35",-28.47254514,146.0410179,11.28,19.08,582.29,"Temperate Grasslands, Savannas & Shrublands","no","Sit&wait","Sauria","Scincoidea",1.576941138
"644","Scincidae","Lerista_punctatovittata","yes","Pyron and Burbrink 2014","Skinner and Lee 2010, Lee et al. 2013, Rabosky et al. 2014","Australia","Cathemeral","earth",NA,24,30.35,"#DIV/0!",-30.07960692,145.1500957,11.17,18.74,432.36,"Temperate Grasslands, Savannas & Shrublands","no","Active","Sauria","Scincoidea",0.787358758
"645","Lacertidae","Eremias_pleskei","yes","Pyron and Burbrink 2014","Guo et al. 2011","Palearctic","Diurnal","air",5.5,24,38.775,"#DIV/0!",39.69554632,45.23631977,11.21,8.55,439.7,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Lacertoidea",0.70432434
"646","Liolaemidae","Liolaemus_magellanicus","yes","Pyron and Burbrink 2014","Breitman et al. 2011, Olave et al. 2014","Neotropic","Diurnal","air",4,NA,25.175,"32.95",-50.64558304,-71.27831663,10.96,5.33,501.1,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.055347106
"647","Liolaemidae","Liolaemus_sarmientoi","yes","Pyron and Burbrink 2014","Pincheira-Donoso et al. 2009, Olave et al. 2014, Breitman et al. 2015","Neotropic","Diurnal","air",4,NA,26,"33.65",-50.71711903,-70.6445249,10.85,6.51,299.5,"Temperate Grasslands, Savannas & Shrublands","no",NA,"Sauria","Pleurodonta",1.494169125
